Date,Region,Product,Revenue,Units_Sold,Discount_Pct,Customer_Rating
2024-12-24,East,Gadget Y,14631.04,22,17.4,3.0
2024-11-22,West,Widget A,9082.49,16,13.0,4.9
2024-05-01,East,Gadget X,12838.25,101,21.0,3.9
2024-06-11,West,Gadget X,3887.36,52,4.1,4.1
2024-02-25,South,Widget A,2883.44,120,9.4,1.5
2024-07-02,South,Gadget Y,4970.46,68,25.6,1.4
2024-12-17,East,Service Pro,1084.78,84,4.4,3.8
2024-07-01,West,Service Pro,1209.78,77,7.8,5.0
2024-01-16,West,Gadget Y,8561.33,141,7.5,2.8
2024-03-12,North,Widget A,1394.2,200,29.5,1.5
2024-07-24,East,Widget A,8943.7,67,27.5,1.3
2024-02-03,South,Gadget Y,12234.83,24,27.2,4.3
2024-06-18,North,Widget A,14163.07,13,5.0,3.3
2024-07-21,West,Widget A,6049.58,110,5.2,1.9
2024-04-05,East,Gadget X,6967.17,39,1.0,3.5
2024-05-05,East,Gadget Y,6473.89,141,14.4,1.4
2024-07-15,South,Gadget Y,3392.14,135,7.5,5.0
2024-10-05,North,Gadget Y,11837.78,92,14.4,4.1
2024-06-25,Central,Service Pro,5163.26,70,5.4,2.3
2024-04-22,North,Gadget X,1349.57,121,15.9,4.1
2024-04-29,South,Widget A,4093.93,62,8.0,4.3
2024-01-29,South,Service Pro,12774.32,100,10.6,4.4
2024-03-29,South,Widget B,9091.53,189,20.9,4.7
2024-01-15,East,Service Pro,8672.29,145,28.5,4.3
2024-09-09,Central,Gadget X,3045.57,10,2.7,1.9
2024-04-22,North,Service Pro,7430.84,85,27.5,1.8
2024-03-07,East,Widget B,13822.32,83,1.8,1.6
2024-12-26,South,Widget A,12773.97,94,28.8,2.5
2024-12-05,West,Service Pro,1964.97,78,9.7,4.9
2024-08-11,West,Gadget X,3025.94,144,20.8,4.7
2024-07-01,South,Service Pro,12309.59,97,9.2,3.8
2024-03-06,South,Widget A,14257.43,147,11.7,5.0
2024-10-17,North,Widget B,9234.64,157,6.6,3.3
2024-09-11,South,Gadget X,11307.48,61,10.4,2.3
